datetimes,Grupo de edad,dead,icu_total,icu_original,icu_gamma
2021-01-14,50-59,4.142857142857143,9.169947489806235,9.169947489806235,0.0
2021-01-15,50-59,4.285714285714286,9.40238609465914,9.40238609465914,0.0
2021-01-16,50-59,4.571428571428571,9.643446317715997,9.643446317715997,0.0
2021-01-17,50-59,5.142857142857143,9.891423736636943,9.891423736636943,0.0
2021-01-18,50-59,4.857142857142857,10.14476589177443,10.14476589177443,0.0
2021-01-19,50-59,5.428571428571429,10.401705209768036,10.401705209768036,0.0
2021-01-20,50-59,5.857142857142857,10.660261192494552,10.660261192494552,0.0
2021-01-21,50-59,7.142857142857143,10.918265414562487,10.918265414562487,0.0
2021-01-22,50-59,7.142857142857143,11.173702433990876,11.173702433990876,0.0
2021-01-23,50-59,7.285714285714286,11.424865994080287,11.424865994080287,0.0
2021-01-24,50-59,7.428571428571429,11.670638136063742,11.670638136063742,0.0
2021-01-25,50-59,8.0,11.910319036418842,11.910319036418842,0.0
2021-01-26,50-59,7.857142857142857,12.14314602078009,12.14314602078009,0.0
2021-01-27,50-59,7.571428571428571,12.368287587608892,12.368287587608892,0.0
2021-01-28,50-59,6.857142857142857,12.584503151279844,12.584503151279844,0.0
2021-01-29,50-59,6.857142857142857,12.790305502901676,12.790305502901676,0.0
2021-01-30,50-59,6.571428571428571,12.983964826853226,12.983964826853226,0.0
2021-01-31,50-59,7.142857142857143,13.164126477225063,13.164126477225063,0.0
2021-02-01,50-59,7.0,13.330580260622153,13.330580260622153,0.0
2021-02-02,50-59,7.0,13.482699320331585,13.482699320331585,0.0
2021-02-03,50-59,7.857142857142857,13.620196210219827,13.620196210219827,0.0
2021-02-04,50-59,8.571428571428571,13.74318967305443,13.74318967305443,0.0
2021-02-05,50-59,8.428571428571429,13.8522592405713,13.8522592405713,0.0
2021-02-06,50-59,8.571428571428571,13.94838083897522,13.94838083897522,0.0
2021-02-07,50-59,8.285714285714286,14.032730840101783,14.032730840101783,0.0
2021-02-08,50-59,7.571428571428571,14.106502984646468,14.106502984646468,0.0
2021-02-09,50-59,6.857142857142857,14.170754300334268,14.170754300334268,0.0
2021-02-10,50-59,6.0,14.226358085527298,14.226358085527298,0.0
2021-02-11,50-59,5.571428571428571,14.274047226133122,14.274047226133122,0.0
2021-02-12,50-59,6.0,14.3145947056986,14.3145947056986,0.0
2021-02-13,50-59,6.612244897959184,14.348804432254889,14.348804432254889,0.0
2021-02-14,50-59,6.612244897959184,14.377428854465572,14.377428854465572,0.0
2021-02-15,50-59,7.040816326530612,14.401114945108748,14.401114945108748,0.0
2021-02-16,50-59,7.183673469387755,14.420440547003857,14.420440547003857,0.0
2021-02-17,50-59,7.8979591836734695,14.43600618230777,14.435960470338669,4.571196910039025e-05
2021-02-18,50-59,7.755102040816326,14.44865788443448,14.448330704296849,0.00032718013763424547
2021-02-19,50-59,7.469387755102041,14.459931435350505,14.458621410703048,0.001310024647456437
2021-02-20,50-59,6.714285714285714,14.472106003329262,14.468291506813536,0.003814496515726062
2021-02-21,50-59,6.428571428571429,14.487943673387875,14.478920647152023,0.009023026235852393
2021-02-22,50-59,6.714285714285714,14.510512309402586,14.492054318807913,0.01845799059467572
2021-02-23,50-59,6.857142857142857,14.542893048305636,14.508982231856404,0.033910816449228325
2021-02-24,50-59,6.428571428571429,14.58798068938563,14.530627529889514,0.057353159496104915
2021-02-25,50-59,7.714285714285714,14.648532945101138,14.5576353414166,0.0908976036845388
2021-02-26,50-59,7.714285714285714,14.727464915383166,14.59064546690639,0.136819448476772
2021-02-27,50-59,7.714285714285714,14.82774614080379,14.63028394837449,0.19746219242929147
2021-02-28,50-59,7.571428571428571,14.951982681340931,14.67692310559784,0.27505957574309625
2021-03-01,50-59,7.0,15.102335797297682,14.730669323396896,0.371666473900787
2021-03-02,50-59,7.571428571428571,15.280458021204435,14.791335804322165,0.4891222168822692
2021-03-03,50-59,7.142857142857143,15.487420362403057,14.858418414317233,0.6290019480858242
2021-03-04,50-59,6.571428571428571,15.723912949108051,14.931239300307052,0.7926736488009988
2021-03-05,50-59,6.571428571428571,15.990744302732313,15.009235528521659,0.9815087742106461
2021-03-06,50-59,6.714285714285714,16.2889787274692,15.092044009055865,1.1969347184133288
2021-03-07,50-59,6.714285714285714,16.619632373230164,15.17934314061882,1.4402892326113463
2021-03-08,50-59,8.142857142857142,16.983514701753414,15.270782932389947,1.7127317693634634
2021-03-09,50-59,8.0,17.38106572062353,15.365876163157878,2.01518955746563
2021-03-10,50-59,9.571428571428571,17.81221043533613,15.463928407033885,2.3482820283022496
2021-03-11,50-59,9.0,18.276628856565434,15.564160135779531,2.7124687207859126
2021-03-12,50-59,9.0,18.774303301441634,15.665948402361266,3.108354899080405
2021-03-13,50-59,8.857142857142858,19.305605396412293,15.768864241307803,3.536741155104488
2021-03-14,50-59,9.285714285714286,19.870837550689398,15.872490675158998,3.998346875530423
2021-03-15,50-59,9.285714285714286,20.470027228751782,15.976350875909828,4.493676352841952
2021-03-16,50-59,8.714285714285714,21.10288816335642,16.079858573465657,5.023029589890751
2021-03-17,50-59,7.857142857142857,21.76886258414543,16.18236042281162,5.586502161333812
2021-03-18,50-59,10.285714285714286,22.467337974630748,16.283277507286716,6.184060467344021
2021-03-19,50-59,11.0,23.19813234210575,16.382319763546263,6.8158125785595285
2021-03-20,50-59,11.142857142857142,23.961385594128224,16.479475576087097,7.481910018041119
2021-03-21,50-59,13.0,24.75694491113581,16.574824420253066,8.182120490882754
2021-03-22,50-59,12.571428571428571,25.583884078713865,16.668387576978457,8.915496501735378
2021-03-23,50-59,13.285714285714286,26.440180673116952,16.759949575176755,9.680231097940192
2021-03-24,50-59,14.0,27.322608233794387,16.848995275509452,10.473612958284939
2021-03-25,50-59,11.714285714285714,28.226788891174014,16.934713543017907,11.29207534815614
2021-03-26,50-59,12.285714285714286,29.14795737895686,17.01618874156277,12.131768637394046
